Cluster Name,Platform,Site/Region,Environments,Compute Subnet,Ingress IP,Console URL,API URL,Vault Auth Backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIADING PROD CLUSTER,Onprem,China,Prod,10.237.16.0/24,10.231.4.29,https://console-openshift-console.apps.iod-jiading-prod.volvocars.net,https://api.iod-jiading-prod.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIADING NON-PROD CLUSTER,Onprem,China,Non Prod,10.237.16.0/24,10.231.4.27,https://console-openshift-console.apps.iod-jiading-qa.volvocars.net,https://api.iod-jiading-qa.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW SANDBOX CLUSTER,Onprem,Sweden,NA,10.122.122.0/23,10.121.97.157,https://console-openshift-console.apps.iod-sandbox.volvocars.net,https://api.iod-sandbox.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDBOX,Azure,WEU,NA,,10.41.159.42,https://console.openshift-console.apps.sandbox-net.sandbox.volvocars.net,https://api.sandbox-net.sandbox.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIE-NON PROD_VANILLA_AZURE,Azure,WEU,Non Prod,10.48.66.160/27,10.48.66.172,https://console-openshift-console.apps.pie-nonprod.volvocars.biz/,https://api.pie-nonprod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIE-PROD_VANILLA_AZURE,Azure,WEU,Prod,10.48.67.32/27 ,10.48.67.44,https://console-openshift-console.apps.pie-prod.volvocars.biz,https://api.pie-prod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCP NON PROD Vanilla Shared Cluster,Azure,WEU,Non Prod,10.48.129.128/26,10.48.129.135,https://console-openshift-console.apps.ocp-shared-v1-nonprod.volvocars.biz,https://api.ocp-shared-v1-nonprod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCP PROD Vanilla Shared Cluster,Azure,WEU,Prod,10.48.128.128/26,10.48.128.141,https://console-openshift-console.apps.ocp-shared-v1-prod.volvocars.biz/,https://api.ocp-shared-v1-prod.volvocars.biz:6443/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARSERVICE-QA_VANILLA_AZURE,Azure,WEU,Non Prod,10.49.202.192/26,10.49.202.205,https://console-openshift-console.apps.carservice-nonprod.volvocars.biz/,https://api.carservice-nonprod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARSERVICE-PROD_VANILLA_AZURE,Azure,WEU,Prod,10.49.201.64/26,10.49.201.77,https://console-openshift-console.apps.carservice-prod.volvocars.biz/,https://api.carservice-prod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO SHARED NON PROD,Azure-ARO,WEU,Non Prod,10.50.114.64/26,10.50.114.126,https://console-openshift-console.apps.shared-azureocp-nonprod.volvocars.biz/,https://api.shared-azureocp-nonprod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO SHARED PROD,Azure-ARO,WEU,Prod,10.50.113.64/26,10.50.113.126,https://console-openshift-console.apps.shared-azureocp-prod.volvocars.biz/,https://api.shared-azureocp-prod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS PROD AZURE,Azure,WEU,Prod,10.50.100.64/26,10.50.100.76,https://console-openshift-console.apps.ocplus-prod.ocp-mgmt.volvocars.net/,https://api.ocplus-prod.ocp-mgmt.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ-AZUREOCP-NONPROD CLUSTER,Azure-ARO,WEU,Prod,10.50.144.64/26,10.50.145.126,https://console-openshift-console.apps.mq-azureocp-nonprod.volvocars.net/,https://api.mq-azureocp-nonprod.volvocars.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ-AZUREOCP-PROD CLUSTER,Azure-ARO,WEU,Non Prod,10.50.145.64/26 ,10.50.144.126,https://console-openshift-console.apps.mq-azureocp-prod.volvocars.net/,https://api.mq-azureocp-prod.volvocars.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMO NON-PROD,Azure,WEU,Non Prod,10.50.176.0/24,10.50.176.48,https://console-openshift-console.apps.maximo-nonprod.volvocars.net,https://api.maximo-nonprod.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMO-PROD,Azure,WEU,Prod,10.50.175.64/27 ,10.50.175.76,https://console-openshift-console.apps.maximo-prod.volvocars.net/,https://api.maximo-prod.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMO -TRAINING,Azure,WEU,Non Prod,10.50.176.96/27,10.50.176.108,https://console-openshift-console.apps.maximo-training.volvocars.net/,https://api.maximo-training.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMO-QA,Azure,WEU,Non Prod,10.50.176.64/27,10.50.176.76,https://console-openshift-console.apps.maximo-qa.volvocars.net/,https://api.maximo-qa.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMO-DEV,Azure,WEU,Non Prod,10.50.176.128/27,10.50.176.137,https://console-openshift-console.apps.maximo-dev.volvocars.net,https://api.maximo-dev.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO-CIL-NONPROD,Azure-ARO,WEU,Non Prod,10.55.27.64/26,10.55.27.126,https://console-openshift-console.apps.cil-azureocp-nonprod.volvocars.biz/,https://api.cil-azureocp-nonprod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO CIL-PROD,Azure-ARO,WEU,Prod,,10.46.41.126,https://console-openshift-console.apps.cil-azureocp-prod.volvocars.biz/,https://api.cil-azureocp-prod.volvocars.biz:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVABILITY NONPROD,Azure,,Non Prod,,10.46.21.126,https://console-openshift-console.apps.observability-nonprod.volvocars.biz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVABILITY PROD,Azure,,Prod,,10.46.24.126,https://console-openshift-console.apps.observability-prod.volvocars.biz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURBONOMIC PROD,Azure,,Prod,,10.46.32.126,https://console-openshift-console.apps.turbonomic-prod.volvocars.biz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
